borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
3579,Ningbo Haishu Development Construction Investment Group Co Ltd,,China,Real Estate,Ningbo Haishu Development Construction Investment Group Co Ltd,,,
3580,Shangyu Hangzhou Bay New Region City Construction Investment Development Co Ltd,,China,Industrials,Shangyu Hangzhou Bay New Region City Construction Investment Development Co Ltd,,,
3581,Jinhua Jindong City Construction Investment Group Co Ltd,,China,Industrials,Jinhua Jindong City Construction Investment Group Co Ltd,,,
3582,Jiangsu Wuxi Huikai Economy Development Group Co Ltd,,China,Real Estate,Jiangsu Wuxi Huikai Economy Development Group Co Ltd,,,
3583,Sichuan Chengnan Expressway Co Ltd,,China,Industrials,Sichuan Chengnan Expressway Co Ltd,,,
3584,Fujian Fuqing Nuclear Power Co Ltd,,China,Utilities,Fujian Fuqing Nuclear Power Co Ltd,,,
3585,Yaskawa Electric Corp,,Japan,Consumer Discretionary,Yaskawa Electric Corp,,,
3586,Sekisui House Reit Inc,,Japan,Real Estate,Sekisui House Ltd,,,
3587,BBGI pcl,,Thailand,Materials,BBGI pcl,,,
3588,SKYCITY Entertainment Group Ltd,,New Zealand,Consumer Discretionary,SKYCITY Entertainment Group Ltd,,,
3589,Hubei Cultural Tourism Investment Group Co Ltd,,China,Industrials,Hubei Culture & Tourism Group Co Ltd,,,
3590,Skyfame International Holdings Ltd,,China,Real Estate,Skyfame Realty (Holdings) Ltd,,,
3591,J Front Retailing Co Ltd,,Japan,Consumer Discretionary,J Front Retailing Co Ltd,,,
3592,Zhongyu Gas Holdings Ltd,,China,Utilities,Zhongyu Energy Holdings Ltd,,,
3593,Haixi Overseas Investment Co Ltd,,China,Industrials,Jiangsu Jinguan Investment Development Group Co Ltd,,,
3594,China Resources Power Investment Co Ltd,,China,Utilities,China Resources Co Ltd,,,
3595,Sojitz Corp,,Japan,Materials,Sojitz Corp,,,
3596,Keppel Land Ltd,,Singapore,Real Estate,Keppel Ltd,,,
3597,Holstein Milk Co Sdn Bhd,,Malaysia,Consumer Staples,Farm Fresh Bhd,,,
3598,AC First Genesis Bhd,,Malaysia,Real Estate,Belleview Sdn Bhd,,,
3599,Cheung Kong Infrastructure Finance (BVI) Ltd,,Hong Kong,Industrials,CK Hutchison Holdings Ltd,,,
3600,Greenland Hong Kong Holdings Ltd,,China,Real Estate,Greenland Holdings Group Corp Ltd,,,
3601,Kenedix Residential Next Investment Corp,,Japan,Real Estate,Sumitomo Mitsui Finance & Leasing Co Ltd,,,
3602,Kulim Technology Park Corp Sdn Bhd,,Malaysia,Real Estate,Kulim Technology Park Corp Sdn Bhd,,,
3603,Wealthy Vision Holdings Ltd,,China,Financials,Jiangsu Shagang Group Co Ltd,,,
3604,Peet Ltd,,Australia,Real Estate,Peet Ltd,,,
3605,THP Suria Mekar Sdn Bhd,,Malaysia,Consumer Staples,TH Plantations Bhd,,,
3606,CLP Power Hong Kong Financing Ltd,,Hong Kong,Utilities,CLP Holdings Ltd,,,
3607,Datang Group Holdings Ltd,,China,Real Estate,Datang Group Holdings Ltd,,,
3608,China State Construction Finance (Cayman) I Ltd,,Hong Kong,Industrials,China State Construction Engineering Corp,,,
3609,Mapletree North Asia Commercial Trust,,Singapore,Real Estate,Temasek Holdings (Pte) Ltd,,,
3610,Huizhou Transportation Investment Group Co Ltd,,China,Industrials,Huizhou Transportation Investment Group Co Ltd,,,
3611,Generation 2021-1 Auto Loans ABS,,China,Financials,Geely Automobile Holdings Ltd,,,
3612,Keppel Infrastructure Trust,,Singapore,Utilities,CitySpring Infrastructure Management Pte Ltd,,,
3613,Huiyi 2021-1 RMBS,,China,Financials,CITIC Group Corp,,,
3614,China Hongqiao Group Ltd,,China,Materials,Shiping Prosperity Pvt Trust Co,,,
3615,Huiyi 2021-2 RMBS,,China,Financials,CITIC Group Corp,,,
3616,E-House (China) Enterprise Holdings Ltd,,China,Real Estate,E-House (China) Holdings Ltd,,,
3617,ANA Holdings Inc,,Japan,Industrials,ANA Holdings Inc,,,
3618,Yanzhou Coal Mining Co Ltd,,China,Materials,Shandong Energy Group Co Ltd,,,
3619,Huiyi 2021-3 RMBS,,China,Financials,CITIC Group Corp,,,
3620,Youyuanjiahe 2021 -1 RMBS,,China,Financials,China Post Group Corp Ltd,,,
3621,Bavarian Sky- Herald International Financial Leasing Co Ltd 2021-1 ABN,,China,Industrials,BMW,,,
3622,PT Indofood CBP Sukses Makmur Tbk,,Indonesia,Consumer Staples,First Pacific Co Ltd,,,
3623,Shinsun Holdings (Group) Co Ltd,,China,Real Estate,Shinsun Holdings (Group) Co Ltd,,,
3624,Kyoei Steel Ltd,,Japan,Materials,Kyoei Steel Ltd,,,
3625,Driver China Eleven 2021-1,,China,Financials,Porsche Automobil Holding SE,,,
3626,NagaCorp Ltd,,Cambodia,Consumer Discretionary,NagaCorp Ltd,,,
