borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
2622,Tonglu State-owned Assets Investment Management Co Ltd,,China,Real Estate,Tonglu State-owned Assets Investment Management Holding Group Co Ltd,,,
2623,Guorui Properties Ltd,,China,Real Estate,Glory Health Industry Ltd,,,
2624,Chengdu Tianfu Dagang Group Co Ltd,,China,Utilities,Chengdu Tianfu Dagang Group Co Ltd,,,
2625,Continental Aerospace Technologies Holding Ltd,,Hong Kong,Industrials,Continental Aerospace Technologies Holding Ltd,,,
2626,Jiangsu Dafeng Harbor Holdings Ltd,,China,Industrials,Jiangsu Dafeng Harbor Holdings Ltd,,,
2627,Guizhou Wujiang Energy Investment Co Ltd,,China,Utilities,Guizhou Wujiang Energy Group Co Ltd,,,
2628,Nanshan Group Co Ltd,,China,Materials,Nanshan Group Co Ltd,,,
2629,Jiangsu Expressway Co Ltd,,China,Industrials,Jiangsu Communications Holding Co Ltd,,,
2630,China Nuclear Engineering Corp Ltd,,China,Industrials,China National Nuclear Corp,,,
2631,Xiamen Haicang Investment Group Co Ltd,,China,noinfo,Xiamen Haicang Investment Group Co Ltd,,,
2632,Shenergy (Group) Co Ltd,,China,Utilities,Shenergy (Group) Co Ltd,,,
2633,Shanghai STVC Group Co Ltd,,China,Real Estate,Shanghai STVC Group Co Ltd,,,
2634,Jiangsu Zhongguancun Science Park Holding Group Co Ltd,,China,Real Estate,Jiangsu Liyang High-tech Zone Holding Group Co Ltd,,,
2635,Liaoning Port Co Ltd,,China,Industrials,China Merchants Group Ltd,,,
2636,Wuxi Venture Capital Group Co Ltd,,China,Financials,Wuxi Industry Development Group Co Ltd,,,
2637,Shanghai Tunnel Engineering Co Ltd,,China,Industrials,Shanghai Tunnel Engineering Co Ltd,,,
2638,Jinko Power Technology Co Ltd,,China,Utilities,Jinko Power Technology Co Ltd,,,
2639,SDG Finance Ltd,,China,Materials,Shandong Gold Group Co Ltd,,,
2640,Sihai International Investment Ltd,,China,Real Estate,Sihai International Investment Ltd,,,
2641,Air New Zealand Ltd,,New Zealand,Industrials,Air New Zealand Ltd,,,
2642,NTUC Fairprice Co-operative Ltd,,Singapore,Consumer Discretionary,Income Insurance Ltd,,,
2643,Hulic Reit Inc,,Japan,Real Estate,Hulic Co Ltd,,,
2644,PetroChina Co Ltd,,China,Energy,CNPC,,,
2645,Linfen City Investment Group Co Ltd,,China,noinfo,Linfen City Investment Group Co Ltd,,,
2646,Liupanshui Communications Investment Development Co Ltd,,China,Industrials,Liupanshui Communications Investment Development Co Ltd,,,
2647,Beijing Fashion Holdings Co Ltd,,China,Consumer Discretionary,Beijing Fashion Holdings Co Ltd,,,
2648,China Southern Power Grid Co Ltd,,China,Utilities,China Southern Power Grid Co Ltd,,,
2649,Anqing Urban Construction Investment & Development (Group) Co Ltd,,China,Industrials,Anqing Urban Construction Investment & Development (Group) Co Ltd,,,
2650,Suqian Water Group Ltd,,China,Industrials,Suqian Water Group Ltd,,,
2651,Hangzhou Wanghaichao Construction Co Ltd,,China,Real Estate,Hangzhou Wanghaichao Construction Co Ltd,,,
2652,Zhejiang Expressway Co Ltd,,China,Industrials,Zhejiang Communications Investment Group Co Ltd,,,
2653,Shanghai Electric Wind Power Group Co Ltd,,China,Industrials,Shanghai Electric (Group) Corp - SEC,,,
2654,Henan Jiyuan Construction Investment Co Ltd,,China,Industrials,Jiyuan Investment Group Co Ltd,,,
2655,Luohe Urban Investment Holding Group Co Ltd,,China,Industrials,Luohe Urban Investment Holding Group Co Ltd,,,
